Unique Key,Character,Pinyin,HSK 1 Words,HSK 2 Words,HSK 3 Words,HSK 4 Words, Definition
[1.01] 不,不,"bù, bu",对不起、不客气、不、不少,不错,不但……而且……,不仅、差不多、不同、不管、不得不、来不及、不过、受不了,"no, not; un-; negative prefix"
[1.01] 们,们,men,你们、我们,,,咱们,adjunct pronoun indicate plural
[1.01] 你,你,nǐ,你、你们,,,,"you, second person pronoun"
[1.01] 关,关,guān,没关系,,关、关系、关于、关心,有关、关键、关注,frontier pass; close; relation
[1.01] 好,好,"hǎo, hào",好、好吃,,爱好,最好、好像、正好、好处、只好、友好、美好,"good, excellent, fine; well"
[1.01] 对,对,duì,对不起,对,,反对、面对、对于、对话、对面,"correct, right; facing, opposed"
[1.01] 您,您,nín,您,,,,honorific for 'you'
[1.01] 没,没,méi,没关系、没有、没,,,,"not, have not, none; drown, sink"
[1.01] 系,系,"xì, xi",没关系,,关系,联系,"system; line, link, connection"
[1.01] 起,起,qǐ,对不起、一起,起床,起飞、起来,引起,"rise, stand up; go up; begin"
[1.02] 再,再,zài,再见,再,,,"again, twice, re-"
[1.02] 客,客,kè,不客气,,客人,顾客、做客、客厅,"guest, traveller; customer"
[1.02] 气,气,"qì, qi",不客气、天气,,生气,脾气、空气、气候、力气、气温,"steam, vapor; KangXi radical 84"
[1.02] 见,见,jiàn,再见、看见,,见面,意见,"see, observe, behold; perceive"
[1.02] 谢,谢,"xiè, xie",谢谢、谢朋,,,感谢,thank; decline
[1.03] 中,中,zhōng,中国、中午,,中间、中文、中介、中秋节,其中,"central; center, middle; in the midst of; hit (target); attain"
[1.03] 么,么,me,什么、怎么、怎么样,为什么,怎么办、多么,,interrogative particle; repetition of a tune small; tender
[1.03] 人,人,"rén, ren",人,,客人、别人、人名,美人鱼,man; people; mankind; someone else
[1.03] 什,什,shén,什么,为什么,,,"file of ten soldiers; mixed, miscellaneous"
[1.03] 叫,叫,jiào,叫,,,,"cry, shout; hail, greet, call"
[1.03] 名,名,míng,名字,,有名、人名,著名、报名,"name, rank, title, position"
[1.03] 吗,吗,ma,吗,,,,final interrogative particle
[1.03] 国,国,guó,美国、中国、国,,国家,国际、国籍,"nation, country, nation-state"
[1.03] 字,字,"zì, zi",名字、字、汉字,,,数字,"letter, character, word"
[1.03] 学,学,xué,学生、同学、学校、学习、学、大学,,数学、留学,科学、学期,"learning, knowledge; school"
[1.03] 师,师,shī,老师,,,律师、师傅,"teacher, master, specialist"
[1.03] 我,我,wǒ,我、我们,,,,"our, us, i, me, my, we"
[1.03] 是,是,"shì, shi",是,但是,还是、总是,要是、可是、于是、是否,"indeed, yes, right; to be; demonstrative pronoun, this, that"
[1.03] 月,月,yuè,李月、月,,月亮,孙月,moon; month; KangXi radical 74
[1.03] 李,李,li,李月,,李小美、李静、行李箱,李、李进,plum; judge; surname
[1.03] 生,生,"shēng, sheng",学生、医生、先生,生病、生日,生气、生活,生意、发生、生命、爱迪生、卫生间、出生,"life, living, lifetime; birth"
[1.03] 美,美,měi,美国,,李小美,美、美丽、美好、美人鱼,"beautiful, pretty; pleasing"
[1.03] 老,老,lǎo,老师,,老,老虎,"old, aged; experienced"
[1.04] 他,他,tā,他,,其他,,"other, another; he, she, it"
[1.04] 友,友,"you, yǒu",朋友,,,友谊、小朋友、友好,"friend, companion; fraternity"
[1.04] 同,同,tóng,同学,,同事、同意,共同、不同、同时、相同、同样、同情,"same, similar; together with"
[1.04] 呢,呢,ne,呢,,,,interrogative or emphatic final; (Cant.) this
[1.04] 哪,哪,nǎ,哪、哪儿,,哪里,,which? where? how?
[1.04] 她,她,tā,她,,,,"she, her"
[1.04] 朋,朋,péng,朋友、谢朋,,,小朋友,"friend, pal, acquaintance"
[1.04] 汉,汉,hàn,汉语、汉字,,,,Chinese people; Chinese language
[1.04] 的,的,"de, dì",的,,,目的,"possessive, adjectival suffix"
[1.04] 语,语,yǔ,汉语,,词语,语法、语言,"language, words; saying, expression"
[1.04] 谁,谁,shuí,谁,,,,who? whom? whose? anyone?
[1.05] 一,一,yī,一、一点儿、一起,一下、第一、一直,一会儿、一定、一样、一般、一边、一共、一般来说,一切、六一儿童节,"one; a, an; alone"
[1.05] 七,七,qī,七,,,,seven
[1.05] 三,三,sān,三,,,,three
[1.05] 九,九,jiǔ,九,,,,nine
[1.05] 了,了,"le, liǎo",了、太……了,,了解、除了、极(了)、为了,极了、受不了,to finish; particle of completed action
[1.05] 二,二,èr,二,,,,two; twice
[1.05] 五,五,wǔ,五,,,,five; surname
[1.05] 今,今,jīn,今年、今天,,,,"now, today, modern era"
[1.05] 儿,儿,"r, ér",女儿、儿子、哪儿、那儿、这儿、一点儿,玩儿,女孩儿、有点儿、聊天(儿)、一会儿,空儿、儿童、六一儿童节,"son, child; KangXi radical 10"
[1.05] 八,八,bā,八,,,,"eight; all around, all sides"
[1.05] 六,六,liù,六,,,六一儿童节,number six
[1.05] 几,几,"jǐ, jī",几,,几乎,,small table
[1.05] 十,十,shí,十,,,十分,"ten, tenth; complete; perfect"
[1.05] 口,口,kǒu,口,路口,,入口,"mouth; open end; entrance, gate"
[1.05] 四,四,sì,四,,,,four
[1.05] 多,多,duō,多、多少,,多么,差不多、许多,"much, many; more than, over"
[1.05] 大,大,"dà, dài",大、大卫、大学,大家,大山,大夫、大使馆、大概、大约、长江大桥,"big, great, vast, large, high"
[1.05] 女,女,nǚ,女儿,女,女孩儿,女性,"woman, girl; feminine; rad. 38"
[1.05] 家,家,jiā,家,大家,国家,家具、作家,"house, home, residence; family"
[1.05] 岁,岁,suì,岁,,,,year; age; harvest
[1.05] 年,年,nián,今年、年,去年、新年,年级、年轻,年龄,year; new-years; person's age
[1.05] 有,有,yǒu,有、没有,有意思,有点儿、有名、只有……オ……,所有、有关、有效、有限、有趣,"have, own, possess; exist"
[1.06] 会,会,huì,会,,音乐会、一会儿、会议、机会,聚会、约会、会员卡、误会、社会,"assemble, meet together; meeting"
[1.06] 做,做,zuò,做,,,做客,"work, make; act"
[1.06] 写,写,xiě,写,,,,"write; draw, sketch; compose"
[1.06] 吃,吃,chī,好吃、吃、吃饭,,,吃惊、小吃,"eat; drink; suffer, endure, bear"
