Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
[3.14] 阿姨 New Word,阿姨,āyí,n.,aunt,3.14,,,,New Word,3
[3.01] 阿 New Word,阿,ā,part.,used at the end of a sentence to indicate confirmation or defense,3.01,,,,New Word,3
[3.10] 矮 New Word,矮,ǎi,adj.,short,3.10,,,,New Word,3
[3.17] 爱好 New Word,爱好,àihào,n.,"hobby, interest",3.17,,,,New Word,3
[3.08] 安静 New Word,安静,ānjìng,adj.,quiet,3.08,,,,New Word,3
[3.02] 把 New Word,把,bǎ,m.,used for things with a handle,3.02,,,,New Word,3
[3.09] 班 New Word,班,bān,n.,class,3.09,,,,New Word,3
[3.01] 搬 New Word,搬,bān,v.,"to move, to carry",3.01,,,,New Word,3
[3.17] 办法 New Word,办法,bànfǎ,n.,"way, approach",3.17,,,,New Word,3
[3.02] 办公室 New Word,办公室,bàngōngshì,n.,office,3.02,,,,New Word,3
[3.07] 半 New Word,半,bàn,num.,half,3.07,,,,New Word,3
[3.06] 帮忙 New Word,帮忙,bāngmáng,v.,to help,3.06,,,,New Word,3
[3.12] 包 New Word,包,bāo,n.,"bag, sack",3.12,,,,New Word,3
[3.17] 饱 New Word,饱,bǎo,adj.,"full, having eaten one's fill",3.17,,,,New Word,3
[3.01] 北方 New Word,北方,běifāng,n.,"north, northern part",3.01,,,,New Word,3
[3.20] 被 New Word,被,bèi,prep.,used to indicate the passive voice,3.20,,,,New Word,3
[3.16] 鼻子 New Word,鼻子,bízi,n.,nose,3.16,,,,New Word,3
[3.09] 比较 New Word,比较,bǐjiào,adv.,"fairly, rather",3.09,,,,New Word,3
[3.04] 比赛 New Word,比赛,bǐsài,n.,"match, competition",3.04,,,,New Word,3
[3.11] 笔记本(电脑) New Word,笔记本(电脑),bǐjìběn(diànnǎo),n.,"notebook, laptop",3.11,,,,New Word,3
[3.17] 必须 New Word,必须,bìxū,adv.,must,3.17,,,,New Word,3
[3.08] 变化 New Word,变化,biànhuà,v.,to change,3.08,,,,New Word,3
[3.16] 别人 New Word,别人,biéren,n.,other people,3.16,,,,New Word,3
[3.14] 冰箱 New Word,冰箱,bīngxiāng,n.,refrigerator,3.14,,,,New Word,3
[3.18] 不但……而且…… New Word,不但……而且……,bùdàn……érqiě……,conj.,not only...but also...,3.18,,,,New Word,3
[3.14] 菜单 New Word,菜单,càidān,n.,menu,3.14,,,,New Word,3
[3.09] 参加 New Word,参加,cānjiā,v.,to participate,3.09,,,,New Word,3
[3.05] 草 New Word,草,cǎo,n.,grass,3.05,,,,New Word,3
[3.08] 层 New Word,层,céng,m.,used for floors,3.08,,,,New Word,3
[3.07] 差 New Word,差,chà,v.,to fall short of,3.07,,,,New Word,3
[3.04] 超市 New Word,超市,chāoshì,n.,supermarket,3.04,,,,New Word,3
[3.03] 衬衫 New Word,衬衫,chènshān,n.,shirt,3.03,,,,New Word,3
[3.20] 成绩 New Word,成绩,chéngjì,n.,"grade, performance, achievement",3.20,,,,New Word,3
[3.16] 城市 New Word,城市,chéngshì,prep.,other than,3.16,,,,New Word,3
[3.07] 迟到 New Word,迟到,chídào,v.,to be late,3.07,,,,New Word,3
[3.15] 除了 New Word,除了,chúle,prep.,other than,3.15,,,,New Word,3
[3.19] 船 New Word,船,chuán,n.,"boat, ship",3.19,,,,New Word,3
[3.05] 春(天) New Word,春(天),chūn(tiān),n.,spring,3.05,,,,New Word,3
[3.11] 词典 New Word,词典,cídiǎn,n.,dictionary,3.11,,,,New Word,3
[3.04] 聪明 New Word,聪明,cōngming,adj.,"clever, smart",3.04,,,,New Word,3
[3.14] 打扫 New Word,打扫,dǎsǎo,v.,"to clean, to sweep",3.14,,,,New Word,3
[3.01] 打算 New Word,打算,dǎsuàn,n./v.,plan; to intend,3.01,,,,New Word,3
[3.01] 带 New Word,带,dài,v.,"to take along, to bring",3.01,,,,New Word,3
[3.09] 担心 New Word,担心,dānxīn,v.,to worry,3.09,,,,New Word,3
[3.04] 蛋糕 New Word,蛋糕,dàngāo,n.,cake,3.04,,,,New Word,3
[3.05] 当然 New Word,当然,dāngrán,adv.,of course,3.05,,,,New Word,3
[3.18] 地方 New Word,地方,dìfang,part.,used to connect an adverbial modifier and the verb it modifies,3.18,,,,New Word,3
[3.11] 灯 New Word,灯,dēng,n.,"light, lamp",3.11,,,,New Word,3
[3.10] 地方 New Word,地方,dìfang,n.,place,3.10,,,,New Word,3
[3.11] 地铁 New Word,地铁,dìtiě,n.,subway,3.11,,,,New Word,3
[3.01] 地图 New Word,地图,dìtú,n.,map,3.01,,,,New Word,3
[3.08] 电梯 New Word,电梯,diàntī,n.,elevator,3.08,,,,New Word,3
[3.11] 电子邮件 New Word,电子邮件,diànzǐyóujiàn,,e-mail,3.11,,,,New Word,3
