Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
[4.01] 爱情 New Word,爱情,àiqíng,n.,love (between a man and a woman),4.01,,,,New Word,4上
[4.03] 安排 New Word,安排,ānpái,v.,to arrange,4.03,,,,New Word,4上
[4.04] 按时 New Word,按时,ànshí,adv.,"on time, on schedule",4.04,,,,New Word,4上
[4.04] 按照 New Word,按照,ànzhào,prep.,according to,4.04,,,,New Word,4上
[4.06] 百分之 New Word,百分之,bǎifēnzhī,,percent,4.06,,,,New Word,4上
[4.04] 保证 New Word,保证,bǎozhèng,v.,to guarantee,4.04,,,,New Word,4上
[4.06] 倍 New Word,倍,bèi,m.,"times, -fold",4.06,,,,New Word,4上
[4.03] 本来 New Word,本来,běnlái,adv.,"originally, at first",4.03,,,,New Word,4上
[4.10] 比如 New Word,比如,bǐrú,v.,"for example, such as",4.10,比如=例如； 例子 noun,,,New Word,4上
[4.02] 毕业 New Word,毕业,bìyè,v.,to graduate,4.02,,,,New Word,4上
[4.05] 标准 New Word,标准,biāozhǔn,n.,standard,4.05,,,,New Word,4上
[4.09] 饼干 New Word,饼干,bǐnggān,n.,biscuit,4.09,,,,New Word,4上
[4.04] 不得不 New Word,不得不,bùdébù,,"to have to, to have no choice but",4.04,,,,New Word,4上
[4.03] 不管 New Word,不管,bùguǎn,conj.,"no matter (what, how, etc.)",4.03,,,,New Word,4上
[4.10] 不过 New Word,不过,bùguò,conj.,"but, yet",4.10,"adv= 仅仅 only
他不过五岁。",,,New Word,4上
[4.01] 不仅 New Word,不仅,bùjǐn,conj.,not only,4.01,,,,New Word,4上
[4.07] 擦 New Word,擦,cā,v.,to wipe,4.07,,,,New Word,4上
[4.03] 材料 New Word,材料,cáiliào,n.,"data, material",4.03,,,,New Word,4上
[4.02] 差不多 New Word,差不多,chàbuduō,adv.,almost,4.02,,,,New Word,4上
[4.06] 尝 New Word,尝,cháng,v.,to taste,4.06,,,,New Word,4上
[4.07] 超过 New Word,超过,chāoguò,v.,"to exceed, to surpass",4.07,,,,New Word,4上
[4.04] 成功 New Word,成功,chénggōng,adj.,successful,4.04,,,,New Word,4上
[4.08] 成为 New Word,成为,chéngwéi,v.,to become,4.08,,,,New Word,4上
[4.03] 诚实 New Word,诚实,chéngshí,adj.,honest,4.03,,,,New Word,4上
[4.02] 重新 New Word,重新,chóngxīn,adv.,"again, once more",4.02,,,,New Word,4上
[4.07] 抽烟 New Word,抽烟,chōuyān,,to smoke,4.07,,,,New Word,4上
[4.07] 出现 New Word,出现,chūxiàn,v.,"to appear, to emerge",4.07,,,,New Word,4上
[4.07] 窗户 New Word,窗户,chuānghu,n.,window,4.07,,,,New Word,4上
[4.01] 从来 New Word,从来,cónglái,adv.,"always, all along",4.01,,,,New Word,4上
[4.10] 答案 New Word,答案,dá'àn,n.,"answer, key",4.10,,,,New Word,4上
[4.06] 打扰 New Word,打扰,dǎrǎo,v.,"to disturb, to bother",4.06,,,,New Word,4上
[4.05] 打折 New Word,打折,dǎzhé,v.,to give a discount,4.05,,,,New Word,4上
[4.08] 大使馆 New Word,大使馆,dàshǐguǎn,n.,embassy,4.08,,,,New Word,4上
[4.07] 大夫 New Word,大夫,dàifu,n.,doctor,4.07,,,,New Word,4上
[4.02] 当 New Word,当,dāng,prep.,"when, just at (a time or place)",4.02,,,,New Word,4上
[4.09] 当时 New Word,当时,dāngshí,n.,"then, at that time",4.09,,,,New Word,4上
[4.08] 到处 New Word,到处,dàochù,adv.,everywhere,4.08,,,,New Word,4上
[4.09] 得 New Word,得,děi,mod.,"must, have to",4.09,,,,New Word,4上
[4.10] 等 New Word,等,děng,part.,"etc., and so on",4.10,等等  ,,,New Word,4上
[4.10] 低 New Word,低,dī,adj.,low,4.10,水平；标准；要求,,,New Word,4上
[4.04] 调查 New Word,调查,diàochá,v.,"to survey, to investigate",4.04,,,,New Word,4上
[4.07] 掉 New Word,掉,diào,v.,"used after certain verbs, indicating the result of an action",4.07,,,,New Word,4上
[4.07] 动作 New Word,动作,dòngzuò,n.,"action, movement",4.07,,,,New Word,4上
[4.08] 堵车 New Word,堵车,dǔchē,v.,traffic jam,4.08,,,,New Word,4上
[4.07] 肚子 New Word,肚子,dùzi,n.,"belly, stomach",4.07,,,,New Word,4上
[4.02] 短信 New Word,短信,duǎnxìn,n.,text message,4.02,,,,New Word,4上
[4.02] 而 New Word,而,ér,conj.,"(showing a contrast) while, yet",4.02,,,,New Word,4上
[4.08] 发生 New Word,发生,fāshēng,v.,"to happen, to take place",4.08,,,,New Word,4上
[4.10] 发展 New Word,发展,fāzhǎn,v.,"to develop, to promote",4.10,"发展经济 ；
n  经济的发展",,,New Word,4上
[4.01] 法律 New Word,法律,fǎlǜ,n.,law,4.01,,,,New Word,4上
[4.10] 翻译 New Word,翻译,fānyì,n.,"translator, interpreter",4.10,v/ n/ ppl ; 翻译成； 这本书被翻译成 +languge,,,New Word,4上
