Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
[4.18] 安全 New Word,安全,ānquán,adj.,"safe, secure",4.18,,,,New Word,4下
[4.15] 棒 New Word,棒,bàng,adj.,"excellent, amazing",4.15,,,,New Word,4下
[4.19] 包子 New Word,包子,bāozi,n.,steamed stuffed bun,4.19,,,,New Word,4下
[4.12] 保护 New Word,保护,bǎohù,v.,to protect,4.12,n./v.,,,New Word,4下
[4.16] 报名 New Word,报名,bàomíng,v.,"to apply, to sign up",4.16,,,,New Word,4下
[4.17] 抱 New Word,抱,bào,v.,"to hold in the arms, to hug",4.17,,,,New Word,4下
[4.14] 抱歉 New Word,抱歉,bàoqiàn,v.,to be sorry,4.14,,,,New Word,4下
[4.15] 笨 New Word,笨,bèn,adj.,"stupid, foolish",4.15,,,,New Word,4下
[4.13] 遍 New Word,遍,biàn,m.,(denoting an action from beginning to end) time,4.13,,,,New Word,4下
[4.16] 表格 New Word,表格,biǎogé,n.,"form, table",4.16,,,,New Word,4下
[4.11] 表示 New Word,表示,biǎoshì,v.,"to express, to indicate",4.11,表示..意思,,,New Word,4下
[4.13] 表演 New Word,表演,biǎoyǎn,v.,"to act, to perform",4.13,,,,New Word,4下
[4.15] 表扬 New Word,表扬,biǎoyáng,v.,"to praise, to commend",4.15,,,,New Word,4下
[4.12] 并且 New Word,并且,bìngqiě,conj.,and,4.12,as well as,,,New Word,4下
[4.16] 博士 New Word,博士,bóshì,n.,doctor (academic degree),4.16,,,,New Word,4下
[4.13] 部分 New Word,部分,bùfen,n.,part,4.13,,,,New Word,4下
[4.11] 猜 New Word,猜,cāi,v.,to guess,4.11,"v+ 一下；VV； 
猜错/对/出",,,New Word,4下
[4.16] 参观 New Word,参观,cānguān,v.,"to visit, to look around",4.16,,,,New Word,4下
[4.13] 餐厅 New Word,餐厅,cāntīng,n.,restaurant,4.13,,,,New Word,4下
[4.15] 厕所 New Word,厕所,cèsuǒ,n.,"lavatory, toilet",4.15,,,,New Word,4下
[4.19] 场 New Word,场,chǎng,m.,"used for sports or recreational events, etc.",4.19,,,,New Word,4下
[4.14] 乘坐 New Word,乘坐,chéngzuò,v.,"to take (a vehicle), to ride (in a vehicle)",4.14,,,,New Word,4下
[4.13] 吃惊 New Word,吃惊,chījīng,v.,"to be surprised, to be shocked",4.13,,,,New Word,4下
[4.14] 出差 New Word,出差,chūchāi,v.,to go on a business trip,4.14,,,,New Word,4下
[4.20] 出发 New Word,出发,chūfā,v.,"to depart, to set off",4.20,,,,New Word,4下
[4.19] 出生 New Word,出生,chūshēng,v.,to be born,4.19,,,,New Word,4下
[4.19] 厨房 New Word,厨房,chúfáng,n.,kitchen,4.19,,,,New Word,4下
[4.16] 传真 New Word,传真,chuánzhēn,v.,to send by fax,4.16,,,,New Word,4下
[4.11] 词语 New Word,词语,cíyǔ,n.,"word, expression",4.11,,,,New Word,4下
[4.15] 粗心 New Word,粗心,cūxīn,adj.,"careless, thoughtless",4.15,,,,New Word,4下
[4.20] 存 New Word,存,cún,v.,"to store, to keep",4.20,,,,New Word,4下
[4.13] 错误 New Word,错误,cuòwù,adj.,wrong,4.13,,,,New Word,4下
[4.20] 打扮 New Word,打扮,dǎban,v.,"to dress up, to deck out",4.20,,,,New Word,4下
[4.19] 打印 New Word,打印,dǎyìn,v.,to print out,4.19,,,,New Word,4下
[4.19] 打招呼 New Word,打招呼,dǎzhāohu,,"to greet, to say hello",4.19,,,,New Word,4下
