Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
[5.07] 哎 New Word,哎,āi,int.,used to express surprise or dissatisfaction,5.07,,,,New Word,5上
[5.07] 唉 New Word,唉,ài,int.,sighing sound indicating sadness or regret,5.07,,,,New Word,5上
[5.01] 爱护 New Word,爱护,àihù,v.,to take good care of,5.01,,,,New Word,5上
[5.08] 安慰 New Word,安慰,ānwèi,v.,"to comfort, to console",5.08,,,,New Word,5上
[5.13] 安装 New Word,安装,ānzhuāng,v.,"to install, to fix",5.13,,,,New Word,5上
[5.01] 暗暗 New Word,暗暗,àn'àn,adv.,"secretly, to oneself",5.01,,,,New Word,5上
[5.06] 熬夜 New Word,熬夜,áoyè,v.,to stay up late,5.06,,,,New Word,5上
[5.07] 摆 New Word,摆,bǎi,v.,"to put, to place, to set in order",5.07,,,,New Word,5上
[5.01] 半夜 New Word,半夜,bànyè,n.,midnight,5.01,,,,New Word,5上
[5.03] 傍晚 New Word,傍晚,bàngwǎn,n.,"towards evening, at dusk",5.03,,,,New Word,5上
[5.03] 包括 New Word,包括,bāokuò,v.,to include,5.03,,,,New Word,5上
[5.12] 宝贝 New Word,宝贝,bǎobèi,n.,baby,5.12,,,,New Word,5上
[5.15] 宝贵 New Word,宝贵,bǎoguì,adj.,"precious, valuable",5.15,,,,New Word,5上
[5.09] 保存 New Word,保存,bǎocún,v.,"to keep, to save",5.09,,,,New Word,5上
[5.16] 报道 New Word,报道,bàodào,v./n.,"to report, to cover; report",5.16,,,,New Word,5上
[5.01] 抱怨 New Word,抱怨,bàoyuàn,v.,to complain,5.01,,,,New Word,5上
[5.04] 背 New Word,背,bēi,v.,to carry on the back,5.04,,,,New Word,5上
[5.12] 背景 New Word,背景,bèijǐng,n.,background,5.12,,,,New Word,5上
[5.02] 被子 New Word,被子,bèizi,n.,quilt,5.02,,,,New Word,5上
[5.04] 本领 New Word,本领,běnlǐng,n.,"ability, capability",5.04,,,,New Word,5上
[5.08] 彼此 New Word,彼此,bǐcǐ,n.,each other,5.08,,,,New Word,5上
[5.11] 必要 New Word,必要,bìyào,adj.,"necessary, essential",5.11,,,,New Word,5上
[5.10] 毕竟 New Word,毕竟,bìjìng,adv.,"after all, in the final analysis",5.10,,,,New Word,5上
[5.11] 避免 New Word,避免,bìmiǎn,v.,"to prevent, to avoid",5.11,,,,New Word,5上
[5.06] 鞭炮 New Word,鞭炮,biānpào,n.,firecrackers,5.06,,,,New Word,5上
[5.07] 便 New Word,便,biàn,adv.,used to indicate that sth. comes naturally under certain conditions or circumstances,5.07,,,,New Word,5上
[5.10] 辩论 New Word,辩论,biànlùn,v.,to debate,5.10,,,,New Word,5上
[5.06] 表达 New Word,表达,biǎodá,v.,"to express, to voice",5.06,,,,New Word,5上
[5.05] 表面 New Word,表面,biǎomiàn,n.,surface,5.05,,,,New Word,5上
[5.16] 表明 New Word,表明,biǎomíng,v.,"to indicate, to manifest",5.16,,,,New Word,5上
[5.08] 表情 New Word,表情,biǎoqíng,n.,(facial) expression,5.08,,,,New Word,5上
[5.09] 表现 New Word,表现,biǎoxiàn,v./n.,"to show, to display; manifestation",5.09,,,,New Word,5上
[5.10] 播放 New Word,播放,bōfàng,v.,"to broadcast, to play (music or videos)",5.10,,,,New Word,5上
[5.10] 脖子 New Word,脖子,bózi,n.,neck,5.10,,,,New Word,5上
[5.01] 不耐烦 New Word,不耐烦,bùnàifán,,impatient,5.01,,,,New Word,5上
[5.07] 不要紧 New Word,不要紧,bùyàojǐn,,it doesn't matter,5.07,,,,New Word,5上
[5.02] 不得了 New Word,不得了,bùdéliǎo,adj.,"extremely, exceedingly",5.02,,,,New Word,5上
