Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
爱 (1.12),爱,ài,v.,"to like, to love",1.12,,,,New Word,1
八 (1.05),八,bā,num.,eight,1.05,,,,New Word,1
爸爸 (1.09),爸爸,bàba,n.,father,1.09,,,,New Word,1
杯子 (1.08),杯子,bēizi,n.,"cup, glass",1.08,,,,New Word,1
本 (1.10),本,běn,m.,a measure word for books,1.10,,,,New Word,1
不客气 (1.02),不客气,bùkèqi,,"you're welcome, don't mention it",1.02,,,,New Word,1
不 (1.02),不,bù,adv.,"nо, not",1.02,,,,New Word,1
菜 (1.06),菜,cài,n.,"dish, cuisine",1.06,,,,New Word,1
茶 (1.08),茶,chá,n.,tea,1.08,,,,New Word,1
吃 (1.08),吃,chī,v.,to eat,1.08,,,,New Word,1
出租车 (1.15),出租车,chūzūchē,n.,"taxi, cab",1.15,,,,New Word,1
打电话 (1.13),打电话,dǎdiànhuà,,to make a phone call,1.13,,,,New Word,1
大 (1.05),大,dà,adj.,(of age) old,1.05,,,,New Word,1
的 (1.04),的,de,part.,used after an attribute,1.04,,,,New Word,1
点 (1.11),点,diǎn,m.,o'clock,1.11,,,,New Word,1
电脑 (1.10),电脑,diànnǎo,n.,computer,1.10,,,,New Word,1
电视 (1.13),电视,diànshì,n.,television,1.13,,,,New Word,1
电影 (1.11),电影,diànyǐng,n.,"film, movie",1.11,,,,New Word,1
东西 (1.14),东西,dōngxi,n.,"thing, stuff",1.14,,,,New Word,1
都 (1.14),都,dōu,adv.,"both, all",1.14,,,,New Word,1
读 (1.06),读,dú,v.,to read,1.06,,,,New Word,1
对不起 (1.01),对不起,duìbuqǐ,v.,to be sorry,1.01,,,,New Word,1
多 (1.05),多,duō,adv.,indicating degree or extent,1.05,,,,New Word,1
多少 (1.08),多少,duōshǎo,pron.,"how many, how much",1.08,,,,New Word,1
儿子 (1.09),儿子,érzi,n.,son,1.09,,,,New Word,1
二 (1.05),二,èr,num.,two,1.05,,,,New Word,1
饭店 (1.15),饭店,fàndiàn,n.,"hotel, restaurant",1.15,,,,New Word,1
飞机 (1.15),飞机,fēijī,n.,airplane,1.15,,,,New Word,1
分钟 (1.14),分钟,fēnzhōng,n.,minute,1.14,,,,New Word,1
高兴 (1.15),高兴,gāoxìng,adj.,"glad, happy",1.15,,,,New Word,1
个 (1.08),个,gè,m.,a general measure word,1.08,,,,New Word,1
工作 (1.09),工作,gōngzuò,v./n.,to work; job,1.09,,,,New Word,1
狗 (1.09),狗,gǒu,n.,dog,1.09,,,,New Word,1
汉语 (1.04),汉语,Hànyǔ,n.,Chinese (language),1.04,,,,New Word,1
好 (1.01),好,hǎo,adj.,"good, fine",1.01,,,,New Word,1
号 (1.07),号,hào,n.,(for date of month) number,1.07,,,,New Word,1
喝 (1.08),喝,hē,v.,to drink,1.08,,,,New Word,1
和 (1.10),和,hé,conj.,and,1.10,,,,New Word,1
很 (1.06),很,hěn,adv.,"very, quite",1.06,,,,New Word,1
后面 (1.10),后面,hòumian,n.,back,1.10,,,,New Word,1
回 (1.11),回,huí,v.,"to come/go back, to return",1.11,,,,New Word,1
会 (1.06),会,huì,mod.,"can, to be able to",1.06,,,,New Word,1
几 (1.05),几,jǐ,pron.,how many,1.05,,,,New Word,1
家 (1.05),家,jiā,n.,family,1.05,,,,New Word,1
叫 (1.03),叫,jiào,v.,"to call, to be called",1.03,,,,New Word,1
今天 (1.07),今天,jīntiān,n.,today,1.07,,,,New Word,1
九 (1.05),九,jiǔ,num.,nine,1.05,,,,New Word,1
开 (1.14),开,kāi,v.,to drive,1.14,,,,New Word,1
看 (1.07),看,kàn,v.,"to look at, to watch, to read",1.07,,,,New Word,1
看见 (1.14),看见,kànjiàn,v.,to see,1.14,,,,New Word,1
块 (1.08),块,kuài,m.,"a unit of money, same as ""yuan""",1.08,,,,New Word,1
来 (1.12),来,lái,v.,to come,1.12,,,,New Word,1
老师 (1.03),老师,lǎoshī,n.,teacher,1.03,,,,New Word,1
了 (1.05),了,le,part.,used at the end of or in the middle of a sentence to indicate a change or a new circumstance,1.05,,,,New Word,1
冷 (1.12),冷,lěng,adj.,cold,1.12,,,,New Word,1
里 (1.10),里,lǐ,n.,"inner, inside, interior",1.10,,,,New Word,1
六 (1.05),六,liù,num.,six,1.05,,,,New Word,1
妈妈 (1.06),妈妈,māma,n.,mother,1.06,,,,New Word,1
吗 (1.03),吗,ma,part.,used at the end of a question,1.03,,,,New Word,1
买 (1.08),买,mǎi,v.,"to buy, to purchase",1.08,,,,New Word,1
猫 (1.09),猫,māo,n.,cat,1.09,,,,New Word,1
没关系 (1.01),没关系,méiguānxi,,"that's OK, it doesn't matter",1.01,,,,New Word,1
没有 (1.10),没有,méiyǒu,adv.,there is not,1.10,,,,New Word,1
米饭 (1.08),米饭,mǐfàn,n.,cooked rice,1.08,,,,New Word,1
名字 (1.03),名字,míngzi,n.,name,1.03,,,,New Word,1
明天 (1.07),明天,míngtiān,n.,tomorrow,1.07,,,,New Word,1
哪 (1.04),哪,nǎ,pron.,which,1.04,,,,New Word,1
哪儿 (1.09),哪儿,nǎr,pron.,where,1.09,,,,New Word,1
那 (1.08),那,nà,pron.,that,1.08,,,,New Word,1
呢 (1.04),呢,ne,part.,used at the end of a question,1.04,,,,New Word,1
能 (1.10),能,néng,mod.,"can, may",1.10,,,,New Word,1
你 (1.01),你,nǐ,pron.,(singular) you,1.01,,,,New Word,1
年 (1.15),年,nián,n.,year,1.15,,,,New Word,1
女儿 (1.05),女儿,nǚ'ér,n.,daughter,1.05,,,,New Word,1
朋友 (1.04),朋友,péngyou,n.,friend,1.04,,,,New Word,1
漂亮 (1.14),漂亮,piàoliang,adj.,"beautiful, pretty",1.14,,,,New Word,1
苹果 (1.14),苹果,píngguǒ,n.,apple,1.14,,,,New Word,1
七 (1.05),七,qī,num.,seven,1.05,,,,New Word,1
前面 (1.10),前面,qiánmiàn,n.,front,1.10,,,,New Word,1
钱 (1.08),钱,qián,n.,money,1.08,,,,New Word,1
请 (1.07),请,qǐng,v.,(polite) please,1.07,,,,New Word,1
去 (1.07),去,qù,v.,to go,1.07,,,,New Word,1
热 (1.12),热,rè,adj.,hot,1.12,,,,New Word,1
人 (1.03),人,rén,n.,"human, person",1.03,,,,New Word,1
认识 (1.15),认识,rènshi,v.,"meet, to know",1.15,,,,New Word,1
三 (1.05),三,sān,num.,three,1.05,,,,New Word,1
