Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
阿姨,āyí,n.,aunt,14
阿,ā,part.,used at the end of a sentence to indicate confirmation or defense,1
矮,ǎi,adj.,short,10
爱好,àihào,n.,"hobby, interest",17
安静,ānjìng,adj.,quiet,8
把,bǎ,m.,used for things with a handle,2
班,bān,n.,class,9
搬,bān,v.,"to move, to carry",1
办法,bànfǎ,n.,"way, approach",17
办公室,bàngōngshì,n.,office,2
半,bàn,num.,half,7
帮忙,bāngmáng,v.,to help,6
包,bāo,n.,"bag, sack",12
饱,bǎo,adj.,"full, having eaten one's fill",17
北方,běifāng,n.,"north, northern part",1
被,bèi,prep.,used to indicate the passive voice,20
鼻子,bízi,n.,nose,16
比较,bǐjiào,adv.,"fairly, rather",9
比赛,bǐsài,n.,"match, competition",4
笔记本(电脑),bǐjìběn(diànnǎo),n.,"notebook, laptop",11
必须,bìxū,adv.,must,17
变化,biànhuà,v.,to change,8
别人,biéren,n.,other people,16
冰箱,bīngxiāng,n.,refrigerator,14
不但……而且……,bùdàn……érqiě……,conj.,not only...but also...,18
菜单,càidān,n.,menu,14
参加,cānjiā,v.,to participate,9
草,cǎo,n.,grass,5
层,céng,m.,used for floors,8
差,chà,v.,to fall short of,7
超市,chāoshì,n.,supermarket,4
衬衫,chènshān,n.,shirt,3
成绩,chéngjì,n.,"grade, performance, achievement",20
城市,chéngshì,prep.,other than,16
迟到,chídào,v.,to be late,7
除了,chúle,prep.,other than,15
船,chuán,n.,"boat, ship",19
春(天),chūn(tiān),n.,spring,5
词典,cídiǎn,n.,dictionary,11
聪明,cōngming,adj.,"clever, smart",4
打扫,dǎsǎo,v.,"to clean, to sweep",14
打算,dǎsuàn,n./v.,plan; to intend,1
带,dài,v.,"to take along, to bring",1
担心,dānxīn,v.,to worry,9
蛋糕,dàngāo,n.,cake,4
当然,dāngrán,adv.,of course,5
地方,dìfang,part.,used to connect an adverbial modifier and the verb it modifies,18
灯,dēng,n.,"light, lamp",11
地方,dìfang,n.,place,10
地铁,dìtiě,n.,subway,11
地图,dìtú,n.,map,1
电梯,diàntī,n.,elevator,8
电子邮件,diànzǐyóujiàn,,e-mail,11
东,dōng,n.,east,20
冬(天),dōng(tiān),n.,winter,17
动物,dòngwù,n.,animal,18
短,duǎn,adj.,short,19
段,duàn,m.,used for sections or periods,18
锻炼,duànliàn,v.,to do physical exercise,6
多么,duōme,adv.,"very, to a great extent",20
俄,é,e,hungry,4
耳朵,ěrduo,adj.,ear,19
发,fā,n.,to send,15
发烧,fāshāo,v.,to have a fever,5
发现,fāxiàn,v.,to discover,12
方便,fāngbiàn,v.,convenient,10
放,fàng,adj.,"to put, to place",3
放心,fàngxīn,v.,"to ease one's mind, to rest assured",9
分,fēn,v.,"fen, a unit of money (-1/10 jiao)",4
分,fēn,m.,to distinguish,20
附近,fùjìn,v.,"nearby, vicinity",10
复习,fùxí,n.,to review,1
千净,qiānjìng,v.,clean,14
感冒,gǎnmào,adj.,to catch a cold,5
感兴趣,gǎnxìngqù,v.,to be interested in,7
刚才,gāngcái,n.,just now,6
个子,gèzi,n.,"height, stature",10
根据,gēnjù,prep.,"according to, based on",17
跟,gēn,prep.,with,1
更,gèng,adv.,"more, even more",6
公斤,gōngjīn,n.,kilogramme,16
公园,gōngyuán,n.,park,6
故事,gùshì,n.,story,14
刮风,guāfēng,v.,to be windy,14
关,guān,v.,"to turn off, to close",11
关系,guānxi,n.,relationship,16
关心,guānxīn,v.,"to care for, to be interested in",20
关于,guānyú,prep.,"about, regarding",18
国家,guójiā,n.,"country, nation",18
过,guò,v.,"to spend, to pass",19
过去,guòqu,n.,past,13
还是,háishi,conj.,or,3
害怕,hàipà,v.,"to be afraid, to be scared",8
黑板,hēibǎn,n.,blackboard,12
后来,hòulái,n.,"later, afterwards",17
护照,hùzhào,n.,passport,12
花,huā,n.,flower,3
花,huā,v.,to spend,15
画,huà,v./n.,"to draw, to paint; drawing, painting",12
坏,huài,adj.,"broken, ruined",13
欢迎,huānyíng,v.,to welcome,7
还,hái,v.,to return,11
环境,huánjìng,n.,environment,10
换,huàn,v.,"to change, to substitute",10
回答,huídá,v.,to answer,4
会议,huìyì,n.,"meeting, conference",11
或者,huòzhě,on conj.,or,3
几乎,jīhū,adv.,almost,8
机会,jīhuì,n.,opportunity,18
极(了),jí(le),adv.,extremely,15
记得,jìde,v.,to remember,3
季节,jìjié,n.,season,5
检查,jiǎnchá,v.,"to check, to examine",16
简单,jiǎndān,adj.,simple,14
见面,jiànmiàn,v.,to meet,8
健康,jiànkāng,adj.,healthy,8
讲,jiǎng,v.,to explain,6
教,jiào,v.,to teach,12
角,jiǎo,m.,"jiao, a unit of money (=1/10 yuan)",4
脚,jiǎo,n.,foot,2
接,jiē,v.,"to meet (sb.), to pick up (sb.)",7
街道,jiēdào,n.,street,15
节目,jiémù,n.,programme,14
节日,jiérì,n.,festival,15
结婚,jiéhūn,v.,"to marry, to get married",7
结束,jiéshù,v.,"to end, to finish",11
解决,jiějué,v.,to solve,20
借,jiè,v.,"to borrow, to lend",11
经常,jīngcháng,adv.,often,13
经过,jīngguò,v.,to pass by,19
经理,jīnglǐ,n.,manager,2
久,jiǔ,adj.,"for a long time, long",7
旧,jiù,adj.,"old, used, worn",10
句子,jùzi,n.,sentence,15
决定,juédìng,v.,to decide,17
可爱,kě'ài,adj.,"lovely, adorable",16
渴,kě,adj.,thirsty,17
刻,kè,m.,quarter,7
客人,kèrén,n.,"customer, guest",4
空调,kōngtiáo,n.,air conditioner,11
口,kǒu,m.,mouthful,11
口,kǒu,n.,mouth,17
哭,kū,v.,to cry,19
裤子,kùzi,n.,pants,3
筷子,kuàizi,n.,chopsticks,11
蓝,lán,adj.,blue,19
老,lǎo,adj.,old,8
离开,líkāi,v.,"to leave, to part with",6
礼物,lǐwù,n.,"gift, present",13
历史,lìshǐ,n.,history,10
脸,liǎn,n.,face,19
练习,liànxí,n.,exercise,15
辆,liàng,m.,used for vehicles,2
聊天(儿),liáotiān(r),v.,to chat,6
了解,liǎojiě,v.,to know,9
邻居,línjū,n.,neighbour,17
留学,liúxué,v.,to study abroad,15
楼,lóu,n.,building,2
绿,lǜ,adj.,green,3
马,mǎ,n.,horse,19
马上,mǎshàng,adv.,"immediately, at once",8
满意,mǎnyì,v.,to be satisfied,8
帽子,màozi,n.,"hat, cap",16
米,mǐ,n.,metre,16
面包,miànbāo,n.,bread,1
明白,míngbai,adj.,clear,6
拿,ná,v.,"to take, to fetch",2
奶奶,nǎinai,n.,grandmother,13
南(方),nán(fāng),n.,"south, southern part",1
难,nán,adj.,difficult,2
难过,nánguò,adj.,sad,20
年级,niánjí,n.,grade,4
年轻,niánqīng,adj.,young,4
鸟,niǎo,n.,bird,19
努力,nǔlì,adj.,hard-working,4
爬山,páshān,v.,to climb a mountain,3
盘子,pánzi,n.,plate,14
胖,pàng,adj.,fat,2
皮鞋,píxié,n.,leather shoes,16
啤酒,píjiǔ,n.,beer,11
瓶子,píngzi,n.,bottle,11
其实,qíshí,adv.,actually,2
其他,qítā,pron.,the rest,15
奇怪,qíguài,adj.,"strange, odd",18
骑,qí,v.,to ride,10
起飞,qǐfēi,v.,(of an aircraft) to take off,12
起来,qǐlai,v.,(indicating an upward movement) to rise,13
清楚,qīngchu,adj.,"clear, distinct",6
请假,qǐngjià,v.,to ask for leave,17
秋(天),qiū(tiān),n.,"autumn, fall",19
裙子,qúnzi,n.,"dress, skirt",5
然后,ránhòu,conj.,"then, after that",14
热情,rèqíng,adj.,"warm, enthusiastic",4
认为,rènwéi,v.,"to think, to believe",16
认真,rènzhēn,adj.,"serious, earnest",4
容易,róngyì,adj.,easy,2
如果,rúguǒ,conj.,"if, in case",16
伞,sǎn,n.,umbrella,2
上网,shàngwǎng,v.,to surf the Internet,15
生气,shēngqì,v.,angry,12
声音,shēngyīn,n.,"sound, voice",14
世界,shìjiè,n.,world,15
试,shì,v.,to try,20
瘦,shòu,adj.,thin,2
