爱情,àiqíng,n.,love (between a man and a woman),1
安排,ānpái,v.,to arrange,3
按时,ànshí,adv.,"on time, on schedule",4
按照,ànzhào,prep.,according to,4
百分之,bǎifēnzhī,,percent,6
保证,bǎozhèng,v.,to guarantee,4
倍,bèi,m.,"times, -fold",6
本来,běnlái,adv.,"originally, at first",3
比如,bǐrú,v.,"for example, such as",10
毕业,bìyè,v.,to graduate,2
标准,biāozhǔn,n.,standard,5
饼干,bǐnggān,n.,biscuit,9
不得不,bùdébù,,"to have to, to have no choice but",4
不管,bùguǎn,conj.,"no matter (what, how, etc.)",3
不过,bùguò,conj.,"but, yet",10
不仅,bùjǐn,conj.,not only,1
擦,cā,v.,to wipe,7
材料,cáiliào,n.,"data, material",3
差不多,chàbuduō,adv.,almost,2
尝,cháng,v.,to taste,6
超过,chāoguò,v.,"to exceed, to surpass",7
成功,chénggōng,adj.,successful,4
成为,chéngwéi,v.,to become,8
诚实,chéngshí,adj.,honest,3
重新,chóngxīn,adv.,"again, once more",2
抽烟,chōuyān,,to smoke,7
出现,chūxiàn,v.,"to appear, to emerge",7
窗戶,chuānghu,n.,window,7
从来,cónglái,adv.,"always, all along",1
答案,dá'àn,n.,"answer, key",10
打扰,dǎrǎo,v.,"to disturb, to bother",6
打折,dǎzhé,v.,to give a discount,5
大使馆,dàshǐguǎn,n.,embassy,8
大夫,dàifu,n.,doctor,7
当,dāng,prep.,"when, just at (a time or place)",2
当时,dāngshí,n.,"then, at that time",9
到处,dàochù,adv.,everywhere,8
得,děi,mod.,"must, have to",9
等,děng,part.,"etc., and so on",10
低,dī,adj.,low,10
调查,diàochá,v.,"to survey, to investigate",4
掉,diào,v.,"used after certain verbs, indicating the result of an action",7
动作,dòngzuò,n.,"action, movement",7
堵车,dǔchē,v.,traffic jam,8
肚子,dùzi,n.,"belly, stomach",7
短信,duǎnxìn,n.,text message,2
而,ér,conj.,"(showing a contrast) while, yet",2
发生,fāshēng,v.,"to happen, to take place",8
发展,fāzhǎn,v.,"to develop, to promote",10
法律,fǎlǜ,n.,law,1
翻译,fānyì,n.,"translator, interpreter",10
烦恼,fánnǎo,adj.,"worried, vexed",7
反对,fǎnduì,v.,"to oppose, to object to",7
方法,fāngfǎ,n.,"method, way",4
方面,fāngmiàn,n.,aspect,6
方向,fāngxiàng,n.,"direction, orientation",10
放弃,fàngqì,v.,to give up,9
放松,fàngsōng,v.,to relax,8
份,fèn,m.,used for jobs among other things,4
丰富,fēngfù,v.,to enrich,2
符合,fúhé,v.,to accord with,3
负责,fùzé,v.,to be in charge of,3
富,fù,adj.,"rich, wealthy",10
改变,gǎibiàn,v.,to change,3
感动,gǎndòng,v.,"to touch, to move",1
感觉,gǎnjué,n.,feeling,3
感情,gǎnqíng,n.,"affection, love",7
感谢,gǎnxiè,v.,to thank,4
刚,gāng,adv.,"just, not long",1
各,gè,pron.,"various, different",6
工资,gōngzī,n.,"pay, salary",4
共同,gòngtóng,adj.,"common, shared",1
购物,gòuwù,,"to shop, to buy things",5
够,gòu,v.,to be enough,1
估计,gūjì,v.,"to estimate, to reckon",7
顾客,gùkè,n.,"customer, client",3
关键,guānjiàn,n.,"hinge, crux",10
光,guāng,adv.,"only, merely",5
广告,guǎnggào,n.,advertisement,5
逛,guàng,v.,"to stroll, to roam",2
国际,guójì,n.,international,9
果汁,guǒzhī,n.,fruit juice,6
过程,guòchéng,n.,"course, process",9
汗,hàn,n.,"sweat, perspiration",9
好处,hǎochu,n.,"benefit, advantage",6
好像,hǎoxiàng,adv.,as if,2
后悔,hòuhuǐ,v.,to regret,7
互相,hùxiāng,adv.,mutually,1
回忆,huíyì,v.,"to call to mind, to recall",8
活动,huódòng,n.,"activity, event",6
获得,huòdé,v.,"to get, to obtain",6
积极,jījí,adj.,positive,8
积累,jīlěi,v.,to accumulate,4
及时,jíshí,adv.,in time,2
即使,jíshǐ,conj.,even if,1
计划,jìhuà,n./ v.,plan; to intend to,4
寄,jì,v.,"to mail, to send",5
加班,jiābān,v.,to work overtime,1
家具,jiājù,n.,furniture,5
价格,jiàgé,n.,price,5
坚持,jiānchí,v.,"to insist, to persist",9
减肥,jiǎnféi,v.,to lose weight,7
建议,jiànyì,n.,"suggestion, advice",10
将来,jiānglái,n.,future,10
奖金,jiǎngjīn,n.,"money award, bonus",4
降低,jiàngdī,v.,"to lower, to reduce",6
交,jiāo,v.,to make (friends),2
交流,jiāoliú,v.,"to exchange, to communicate",2
教授,jiàoshòu,n.,professor,7
接受,jiēshòu,v.,to accept,1
