Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
哎,āi,int.,used to express surprise or dissatisfaction,7
唉,ài,int.,sighing sound indicating sadness or regret,7
爱护,àihù,v.,to take good care of,1
安慰,ānwèi,v.,"to comfort, to console",8
安装,ānzhuāng,v.,"to install, to fix",13
暗暗,àn'àn,adv.,"secretly, to oneself",1
熬夜,áoyè,v.,to stay up late,6
摆,bǎi,v.,"to put, to place, to set in order",7
半夜,bànyè,n.,midnight,1
傍晚,bàngwǎn,n.,"towards evening, at dusk",3
包括,bāokuò,v.,to include,3
宝贝,bǎobèi,n.,baby,12
宝贵,bǎoguì,adj.,"precious, valuable",15
保存,bǎocún,v.,"to keep, to save",9
报道,bàodào,v./n.,"to report, to cover; report",16
抱怨,bàoyuàn,v.,to complain,1
背,bēi,v.,to carry on the back,4
背景,bèijǐng,n.,background,12
被子,bèizi,n.,quilt,2
本领,běnlǐng,n.,"ability, capability",4
彼此,bǐcǐ,n.,each other,8
必要,bìyào,adj.,"necessary, essential",11
毕竟,bìjìng,adv.,"after all, in the final analysis",10
避免,bìmiǎn,v.,"to prevent, to avoid",11
鞭炮,biānpào,n.,firecrackers,6
便,biàn,adv.,used to indicate that sth. comes naturally under certain conditions or circumstances,7
辩论,biànlùn,v.,to debate,10
表达,biǎodá,v.,"to express, to voice",6
表面,biǎomiàn,n.,surface,5
表明,biǎomíng,v.,"to indicate, to manifest",16
表情,biǎoqíng,n.,(facial) expression,8
表现,biǎoxiàn,v./n.,"to show, to display; manifestation",9
播放,bōfàng,v.,"to broadcast, to play (music or videos)",10
脖子,bózi,n.,neck,10
不耐烦,bùnàifán,,impatient,1
不要紧,bùyàojǐn,,it doesn't matter,7
不得了,bùdéliǎo,adj.,"extremely, exceedingly",2
不行,bùxíng,v.,"(indicating degree, intensity, etc.) terribly, extremely",4
不足,bùzú,adj./v.,insufficient; to be less than,8
布,bù,n.,cloth,18
财产,cáichǎn,n.,"property, fortune",8
采取,cǎiqǔ,v.,"to take, to adopt",16
采用,cǎiyòng,v.,"to use, to employ",11
彩虹,cǎihóng,n.,rainbow,3
踩,cǎi,v.,"to step on, to tread on",13
参与,cānyù,v.,to take part in,16
惭愧,cánkuì,adj.,ashamed,4
(躲)藏,(duǒ)cáng,v.,to hide,5
操场,cāochǎng,n.,"sports ground, playground",10
曾经,céngjīng,adv.,"once, in the past",9
差距,chājù,n.,"gap, difference",10
差异,chāyì,n.,difference,16
插,chā,v.,"to insert, to stick in",10
产品,chǎnpǐn,n.,"product, produce",11
产生,chǎnshēng,v.,"to emerge, to arise",5
长途,chángtú,adj.,long-distance,2
吵,chǎo,v./adj.,to make a noise; noisy,1
吵架,chǎojià,v.,to quarrel,1
称,chēng,v.,"to call, to give sb. a particular name",7
称,chēng,v.,to weigh,16
成果,chéngguǒ,n.,"result, achievement",16
成就,chéngjiù,n.,"achievement, accomplishment",4
成熟,chéngshú,v./adj.,to ripen; mature,10
成语,chéngyǔ,n.,"idiom, set phrase",7
诚恳,chéngkěn,adj.,"sincere, earnest",4
程度,chéngdù,n.,"degree, level",12
吃亏,chīkuī,v.,to suffer losses,8
迟早,chízǎo,adv.,sooner or later,15
持续,chíxù,v.,"to continue, to last",11
冲,chōng,v.,"to rush, to dash",5
充分,chōngfèn,adj.,"ample, sufficient",14
充满,chōngmǎn,v.,to be full of,5
重复,chóngfù,v.,to repeat,13
宠物,chǒngwù,n.,pet,8
抽象,chōuxiàng,adj./v.,abstract; to draw a correct conclusion from objective facts,18
丑(陋),chǒu(lòu),adj.,ugly,18
出自,chūzì,v.,"to come from, to stem from",18
除,chú,v.,"to get rid of, to remove",6
除夕,chúxī,n.,eve of the Lunar New Year/Spring Festival,6
传说,chuánshuō,n.,legend,5
传统,chuántǒng,n./adj.,tradition; traditional,11
窗帘,chuānglián,n.,curtain,11
创造,chuàngzào,v.,"to create, to produce",14
词汇,cíhuì,n.,vocabulary,8
辞职,cízhí,v.,to quit a job,3
此外,cǐwài,conj.,"in addition, moreover",6
从而,cóng'ér,conj.,"thus, consequently",5
从前,cóngqián,n.,"before, in the past",4
催,cuī,v.,"to urge, to push",1
存在,cúnzài,v.,to exist,16
措施,cuòshī,n.,"measure, step",16
达到,dádào,v.,"to reach, to attain",16
打工,dǎgōng,v.,"to work for others, to do a temporary job",2
打交道,dǎjiāodào,,to make contact with,14
打听,dǎting,v.,to inquire about,4
大方,dàfang,adj.,generous,9
呆,dāi,adj./v.,"dull, dumb; to stagnate",13
代表,dàibiǎo,n./v.,typical case; to represent,14
待遇,dàiyù,n.,pay and perks,3
胆小鬼,dǎnxiǎoguǐ,n.,coward,15
当地,dāngdì,n.,"local, in the locality",12
挡,dǎng,v.,"to block, to get in the way of",5
导演,dǎoyǎn,n./v.,director (of a show or movie); to direct,10
导致,dǎozhì,v.,"to cause, to lead to",11
倒,dào,adv.,indicating being contrary to what is expected or thought,8
道理,dàoli,n.,"principle, theory",15
等待,děngdài,v.,to wait,1
等于,děngyú,v.,to be equal to,17
低落,dīluò,adj.,"down, depressed",11
敌(人),dí(rén),n.,enemy,15
地道,dìdao,adj.,"true, genuine",9
地区,dìqū,n.,"area, region",5
地位,dìwèi,n.,"position, status",12
递,dì,v.,"to hand over, to pass",1
点心,diǎnxin,n.,"dessert, dim sum",9
电台,diàntái,n.,radio station,1
钓,diào,v.,to fish with a hook and line,3
顶,dǐng,v.,"to go against, to move towards",4
冻,dòng,v.,"to freeze, to feel very cold",2
洞,dòng,n.,hole,10
逗,dòu,v.,"to amuse, to tease",12
独立,dúlì,v.,to be on one's own,15
独特,dútè,adj.,"unique, distinctive",5
度过,dùguò,v.,"to pass, to spend",17
断,duàn,v.,"to cut off, to stop",2
断断续续,duànduànxùxù,adj.,"off and on, intermittent",13
对比,duìbǐ,v.,"to compare, to contrast",1
对方,duìfāng,n.,"the other side, the other party",8
蹲,dūn,v.,"to squat, to crouch",7
顿,dùn,m.,used for meals,3
多亏,duōkuī,v.,"luckily, thank to",13
发愁,fāchóu,v.,to worry,3
发达,fādá,adj.,"developed, advanced",12
反而,fǎn'ér,adv.,"on the contrary, instead",4
反应,fǎnyìng,n./v.,response; to react,7
反映,fǎnyìng,v.,"to reflect, to mirror",5
方,fāng,adj.,square,14
方案,fāng'àn,n.,"plan, scheme",15
方式,fāngshì,n.,"way, method",8
仿佛,fǎngfú,adv./v.,"as if; to be like, to be similar to",13
非,fēi,v.,to be not,16
分别,fēnbié,adv.,"respectively, separately",7
分布,fēnbù,v.,"to be distributed (over an area), to be scattered",5
分析,fēnxī,v.,to analyze,16
纷纷,fēnfēn,adv./adj.,one after another; all at once,6
风俗,fēngsú,n.,"custom, convention",6
疯,fēng,v.,"to be crazy, to go mad",3
讽刺,fěngcì,v.,to satirize,15
扶,fú,v.,to support with one's hand,4
服装,fúzhuāng,n.,"clothing, costume",17
幅,fú,m.,"used for paintings and scrolls, etc.",18
改进,gǎijìn,v.,"to improve, to ameliorate",10
赶紧,gǎnjǐn,adv.,"immediately, at once",6
感激,gǎnjī,v.,to feel grateful,5
感受,gǎnshòu,v./n.,to feel; feeling,2
干活儿,gànhuór,v.,to work,3
高档,gāodàng,adj.,"high-grade, top-notch",9
高级,gāojí,adj.,"senior, high-ranking",12
告别,gàobié,v.,to say goodbye,17
格外,géwài,adv.,"especially, extraordinarily",8
个别,gèbié,adv./adj.,one or two; exceptional,16
个人,gèrén,n.,individual,12
各自,gèzì,pron.,"each, respective",3
根,gēn,m./n.,"root, foundation; a measure word for long and thin objects",7
工程师,gōngchéngshī,n.,engineer,13
工具,gōngjù,n.,"tool, instrument",13
エ人,gōngrén,n.,worker,3
公元,gōngyuán,n.,Christian era,15
功能,gōngnéng,n.,function,14
姑姑,gūgu,n.,"aunt, father's sister",2
姑娘,gūniang,n.,girl,6
古代,gǔdài,n.,ancient times,4
古典,gǔdiǎn,adj.,classical,18
骨(头),gǔ(tou),n.,bone,6
固定,gùdìng,adj./v.,"fixed, settled; to fix",8
关闭,guānbì,v.,"to close, to shut",14
官,guān,n.,government official,4
光临,guānglín,v.,"to visit, to frequent",9
光线,guāngxiàn,n.,"light, ray",11
广大,guǎngdà,adj.,"vast, extensive",5
广泛,guǎngfàn,adj.,"wide, extensive",14
规律,guīlǜ,n./adj.,"law, regular pattern; regular",11
规则,guīzé,adj./n.,regular; rule,18
锅,guō,n.,"pot, pan",6
果然,guǒrán,adv.,"as expected, really",6
果实,guǒshí,n.,fruit,8
哈,hā,onom./int.,sound of laughter; indicating complacency or satisfaction,8
海鲜,hǎixiān,n.,seafood,3
喊,hǎn,v.,"to shout, to call",1
豪华,háohuá,adj.,"luxurious, lavish",9
好客,hàokè,v.,to be hospitable,9
好奇,hàoqí,adj.,curious,13
合作,hézuò,v.,"to cooperate, to work together",12
何必,hébì,adv.,(indicating that there is no need for sth.) why,13
何況,hékuàng,conj.,let alone,13
恨,hèn,v.,to hate,6
猴子,hóuzi,n.,monkey,8
后背,hòubèi,n.,back (of the human body),4
呼朋唤友,hūpénghuànyou,,"to invite friends, to have friends gather together",9
呼吸,hūxī,v.,to breathe,11
忽然,hūrán,adv.,suddenly,7
忽视,hūshì,v.,"to ignore, to overlook",17
胡说,húshuō,v.,to talk nonsense,7
胡同,hútòng,n.,"alley, lane",9
壶,hú,n.,"pot, kettle",5
糊涂,hútu,adj.,muddleheaded,15
华裔,Huáyì,n.,foreign citizen of Chinese origin,12
滑,huá,adj./v.,"slippery; to slip, to slide",4
话题,huàtí,n.,topic,18
慌(张),huāng(zhāng),adj.,"flurried, flustered",11
灰尘,huīchén,n.,"dust, dirt",2
挥,huī,v.,"to wave, to wield",18
婚礼,hūnlǐ,n.,wedding,17
婚姻,hūnyīn,n.,marriage,1
活跃,huóyuè,adj./v.,"active, dynamic; to activate",18
伙伴,huǒbàn,n.,partner,12
或许,huòxǔ,adv.,"maybe, perhaps",10
击,jī,v.,"to hit, to strike",3
机器,jīqì,n.,machine,13
激烈,jīliè,adj.,"intense, fierce",13
极其,jíqí,adv.,extremely,18
即,jí,v./adv.,to be; namely,16
集中,jízhōng,v./adj.,"to concentrate, to focus; concentrated",17
计算,jìsuàn,v.,"to calculate, to compute",11
记忆,jìyì,v./n.,to remember; memory,11
纪念,jìniàn,v.,to commemorate,10
系,jì,v.,"to tie, to fasten",10
家庭,jiātíng,n.,family,8
甲,jiǎ,n.,first,13
驾驶,jiàshǐ,v.,"to drive, to pilot",3
坚决,jiānjué,adj.,"resolute, determined",2
肩膀,jiānbǎng,n.,shoulder,1
艰苦,jiānkǔ,adj.,"arduous, difficult, tough",10
建筑,jiànzhù,n.,"building, architecture",14
讲究,jiǎngjiu,v./adj.,"to be particular about, to stress; exquisite",9
交际,jiāojì,n.,"social contact, communication",9
角度,jiǎodù,n.,"angle, degree of angle",5
结实,jiēshí,adj.,"strong, sturdy",4
接待,jiēdài,v.,"to receive (sb.), to entertain",14
节省,jiéshěng,v.,"to save, to economize",8
节食,jiéshí,v.,to go on a diet,16
结构,jiégòu,n.,structure,8
结论,jiélùn,n.,conclusion,7
戒,jiè,v.,"to give up, to quit",9
借口,jièkǒu,n./v.,"excuse, pretext; to use as an excuse",16
金属,jīnshǔ,n.,metal,7
尽(カ),jǐn(lì),v.,to try one's best,7
近代,jìndài,n.,modern times (referring to the period between mid-19th century and 1919 in Chinese history),9
经营,jīngyíng,v.,"to manage, to run",12
精神,jīngshén,n./adj.,"spirit, vigor; lively, vigorous",11
救,jiù,v.,"to save, to rescue",5
舅舅,jiùjiu,n.,"uncle, mother's brother",2
居然,jūrán,adv.,indicating unexpectedness,1
具备,jùbèi,v.,"to have, to possess",14
决心,juéxīn,n./v.,determination; to make up one's mind,4
绝对,juéduì,adv./adj.,"absolutely, definitely; absolute",15
军事,jūnshì,n.,military affairs,15
开发,kāifā,v.,"to develop, to exploit",12
开幕式,kāimùshì,n.,opening ceremony,17
靠,kào,v.,to lean against,1
颗,kē,m.,used for things small and roundish,8
可见,kějiàn,conj.,it can be seen that...,18
可靠,kěkào,adj.,"reliable, dependable",16
空间,kōngjiān,n.,space,14
啦,la,part.,"combination of the sounds of ""了 (le)"" and "" 啊(a) "", expressing exclamation, interrogation, etc.",10
拦,lán,v.,"to block, to hold back",10
烂,làn,adj.,"bad, lame",17
劳动,láodòng,n./v.,"work, labor; to work, to do physical labor",14
老百姓,lǎobǎixìng,n.,"ordinary people, civilians",5
老婆,lǎopó,n.,wife,1
老实,lǎoshi,adj.,"honest, frank",4
姥姥,lǎolao,n.,maternal grandma,2
雷,léi,n.,thunder,3
类型,lèixíng,n.,"type, category",16
离婚,lí hūn,v.,to divorce,1
理论,lǐlùn,n.,theory,15
立即,lìjí,adv.,"immediately, at once",16
