Word/Phrase	Pinyin	Part of Speech	Meaning	Lesson
哎	int.	used to express surprise or dissatisfaction	7
唉	int.	sighing sound indicating sadness or regret	7
爱护	v.	to take good care of	1
安慰	v.	to comfort, to console	8
安装	v.	to install, to fix	13
暗暗	adv.	secretly, to oneself	1
熬夜	v.	to stay up late	6
摆	v.	to put, to place, to set in order	7
半夜	n.	midnight	1
傍晚	n.	towards evening, at dusk	3
包括	v.	to include	3
宝贝	n.	baby	12
宝贵	adj.	precious, valuable	15
保存	v.	to keep, to save	9
报道	v./n.	to report, to cover; report	16
抱怨	v.	to complain	1
背	v.	to carry on the back	4
背景	n.	background	12
被子	n.	quilt	2
本领	n.	ability, capability	4
彼此	n.	each other	8
必要	adj.	necessary, essential	11
毕竟	adv.	after all, in the final analysis	10
避免	v.	to prevent, to avoid	11
鞭炮	n.	firecrackers	6
便	adv.	used to indicate that sth. comes naturally under certain conditions or circumstances	7
辩论	v.	to debate	10
表达	v.	to express, to voice	6
表面	n.	surface	5
表明	v.	to indicate, to manifest	16
表情	n.	(facial) expression	8
表现	v./n.	to show, to display; manifestation	9
播放	v.	to broadcast, to play (music or videos)	10
脖子	n.	neck	10
不耐烦		impatient	1
不要紧		it doesn't matter	7
不得了	adj.	extremely, exceedingly	2
不行	v.	(indicating degree, intensity, etc.) terribly, extremely	4
不足	adj./v.	insufficient; to be less than	8
布	n.	cloth	18
财产	n.	property, fortune	8
采取	v.	to take, to adopt	16
采用	v.	to use, to employ	11
彩虹	n.	rainbow	3
踩	v.	to step on, to tread on	13
参与	v.	to take part in	16
漸愧	adj.	ashamed	4
(躲)藏	v.	to hide	5
操场	n.	sports ground, playground	10
曾经	adv.	once, in the past	9
差距	n.	gap, difference	10
差异	n.	difference	16
插	v.	to insert, to stick in	10
产品	n.	product, produce	11
产生	v.	to emerge, to arise	5
长途	adj.	long-distance	2
吵	v./adj.	to make a noise; noisy	1
吵架	v.	to quarrel	1
称	v.	to call, to give sb. a particular name	7
称	v.	to weigh	16
成果	n.	result, achievement	16
成就	n.	achievement, accomplishment	4
成熟	v./adj.	to ripen; mature	10
成语	n.	idiom, set phrase	7
诚恩	adj.	sincere, earnest	4
程度	n.	degree, level	12
吃亏	v.	to suffer losses	8
迟早	adv.	sooner or later	15
持续	v.	to continue, to last	11
冲	v.	to rush, to dash	5
充分	adj.	ample, sufficient	14
充满	v.	to be full of	5
重复	v.	to repeat	13
宠物	n.	pet	8
抽象	adj./v.	abstract; to draw a correct conclusion from	18
丑(陋)	adj.	objective facts	18
出自	v.	ugly	18
除	v.	to come from, to stem from	6
除夕	n.	to get rid of, to remove	6
传说	n.	eve of the Lunar New Year/Spring Festival	5
传统	n./adj.	legend	11
窗帘	n.	tradition; traditional	11
窗帘	n.	curtain	11
创造	v.	to create, to produce	14
词汇	n.	vocabulary	8
辞职	v.	to quit a job	3
此外	conj.	in addition, moreover	6
从而	conj.	thus, consequently	5
从前	n.	before, in the past	4
催	v.	to urge, to push	1
存在	v.	to exist	16
措施	n.	measure, step	16
达到	v.	to reach, to attain	16
打工	v.	to work for others, to do a temporary job	2
打交道		to make contact with	14
打听	v.	to inquire about	4
大方	adj.	generous	9
呆	adj./v.	dull, dumb; to stagnate	13
代表	n./v.	typical case; to represent	14
待遇	n.	pay and perks	3
胆小鬼	n.	coward	15
当地	n.	local, in the locality	12
挡	v.	to block, to get in the way of	5
导演	n./v.	director (of a show or movie); to direct	10
导致	v.	to cause, to lead to	11
倒	adv.	indicating being contrary to what is expected or thought	8
道理	n.	principle, theory	15
等待	v.	to wait	1
等于	v.	to be equal to	17
低落	adj.	down, depressed	11
敌(人)	n.	enemy	15
地道	adj.	true, genuine	9
地区	n.	area, region	5
地位	n.	position, status	12
递	v.	to hand over, to pass	1
点心	n.	dessert, dim sum	9
电台	n.	radio station	1
约	v.	to fish with a hook and line	3
顶	v.	to go against, to move towards	4
冻	v.	to freeze, to feel very cold	2
洞	n.	hole	10
逗	v.	to amuse, to tease	12
独立	v.	to be on one's own	15
独特	adj.	unique, distinctive	5
度过	v.	to pass, to spend	17
断	v.	to cut off, to stop	2
断断续续	adj.	off and on, intermittent	13
对比	v.	to compare, to contrast	1
对方	n.	the other side, the other party	8
蹲	v.	to squat, to crouch	7
顿	m.	used for meals	3
多亏	v.	luckily, thank to	13
发愁	v.	to worry	3
发达	adj.	developed, advanced	12
反而	adv.	on the contrary, instead	4
反应	n./v.	response; to react	7
反映	v.	to reflect, to mirror	5
方	adj.	square	14
方案	n.	plan, scheme	15
方式	n.	way, method	8
仿佛	adv./v.	as if; to be like, to be similar to	13
非	v.	to be not	16
分别	adv.	respectively, separately	7
分布	v.	to be distributed (over an area), to be scattered	5
分析	v.	to analyze	16
纷纷	adv./adj.	one after another; all at once	6
风俗	n.	custom, convention	6
疯	v.	to be crazy, to go mad	3
讽刺	v.	to satirize	15
扶	v.	to support with one's hand	4
服装	n.	clothing, costume	17
幅	m.	used for paintings and scrolls, etc.	18
改进	v.	to improve, to ameliorate	10
赶紧	adv.	immediately, at once	6
感激	v.	to feel grateful	5
感受	v./n.	to feel; feeling	2
干活儿	v.	to work	3
高档	adj.	high-grade, top-notch	9
高级	adj.	senior, high-ranking	12
告别	v.	to say goodbye	17
格外	adv.	especially, extraordinarily	8
个别	adv./adj.	one or two; exceptional	16
个人	n.	individual	12
各自	pron.	each, respective	3
根	m./n.	root, foundation; a measure word for long and thin objects	7
工程师	n.	engineer	13
工具	n.	tool, instrument	13
エ人	n.	worker	3
公元	n.	Christian era	15
功能	n.	function	14
姑姑	n.	aunt, father's sister	2
姑娘	n.	girl	6
古代	n.	ancient times	4
古典	adj.	classical	18
骨(头)	n.	bone	6
固定	adj./v.	fixed, settled; to fix	8
关闭	v.	to close, to shut	14
官	n.	government official	4
光临	v.	to visit, to frequent	9
光线	n.	light, ray	11
广大	adj.	vast, extensive	5
广泛	adj.	wide, extensive	14
规律	n./adj.	law, regular pattern; regular	11
规则	adj./n.	regular; rule	18
锅	n.	pot, pan	6
果然	adv.	as expected, really	6
果实	n.	fruit	8
哈	onom./int.	sound of laughter; indicating complacency or satisfaction	8
海鲜	n.	seafood	3
喊	v.	to shout, to call	1
豪华	adj.	luxurious, lavish	9
好客	v.	to be hospitable	9
好奇	adj.	curious	13
合作	v.	to cooperate, to work together	12
何必	adv.	(indicating that there is no need for sth.) why	13
何況	conj.	let alone	13
恨	v.	to hate	6
猴子	n.	monkey	8
后背	n.	back (of the human body)	4
呼朋唤友		to invite friends, to have friends gather together	9
呼吸	v.	to breathe	11
忽然	adv.	suddenly	7
忽视	v.	to ignore, to overlook	17
胡说	v.	to talk nonsense	7
胡同	n.	alley, lane	9
壶	n.	pot, kettle	5
糊涂	adj.	muddleheaded	15
华裔	n.	foreign citizen of Chinese origin	12
滑	adj./v.	slippery; to slip, to slide	4
话题	n.	topic	18
慌(张)	adj.	flurried, flustered	11
灰尘	n.	dust, dirt	2
挥	v.	to wave, to wield	18
婚礼	n.	wedding	17
婚姻	n.	marriage	1
活跃	adj./v.	active, dynamic; to activate	18
伙伴	n.	partner	12
或许	adv.	maybe, perhaps	10
击	v.	to hit, to strike	3
机器	n.	machine	13
激烈	adj.	intense, fierce	13
极其	adv.	extremely	18
即	v./adv.	to be; namely	16
集中	v./adj.	to concentrate, to focus; concentrated	17
计算	v.	to calculate, to compute	11
记忆	v./n.	to remember; memory	11
纪念	v.	to commemorate	10
系	v.	to tie, to fasten	10
家庭	n.	family	8
甲	n.	first	13
驾驶	v.	to drive, to pilot	3
坚决	adj.	resolute, determined	2
肩膀	n.	shoulder	1
艰苦	adj.	arduous, difficult, tough	10
建筑	n.	building, architecture	14
讲究	v./adj.	to be particular about, to stress; exquisite	9
交际	n.	social contact, communication	9
角度	n.	angle, degree of angle	5
结实	adj.	strong, sturdy	4
接待	v.	to receive (sb.), to entertain	14
节省	v.	to save, to economize	8
节食	v.	to go on a diet	16
结构	n.	structure	8
结论	n.	conclusion	7
戒	v.	to give up, to quit	9
借口	n./v.	excuse, pretext; to use as an excuse	16
金属	n.	metal	7
尽(カ)	v.	to try one's best	7
近代	n.	modern times (referring to the period between mid-19th century and 1919 in Chinese history)	9
经营	v.	to manage, to run	12
精神	n./adj.	spirit, vigor; lively, vigorous	11
救	v.	to save, to rescue	5
舅舅	n.	uncle, mother's brother	2
居然	adv.	indicating unexpectedness	1
具备	v.	to have, to possess	14
决心	n./v.	determination; to make up one's mind	4
绝对	adv./adj.	absolutely, definitely; absolute	15
军事	n.	military affairs	15
开发	v.	to develop, to exploit	12
开幕式	n.	opening ceremony	17
靠	v.	to lean against	1
颗	m.	used for things small and roundish	8
可见	conj.	it can be seen that...	18
可靠	adj.	reliable, dependable	16
空间	n.	space	14
啦	part.	"combination of the sounds of ""了 (le)"" and "" 啊(a) "", expressing exclamation, interrogation, etc."	10
拦	v.	to block, to hold back	10
烂	adj.	bad, lame	17
劳动	n./v.	work, labor; to work, to do physical labor	14
老百姓	n.	ordinary people, civilians	5
老婆	n.	wife	1
