Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
爱惜,àixī,v.,"to cherish, to treasure",34
爱心,àixīn,n.,"love, compassion",36
岸,àn,n.,"bank (of a river, lake, etc.), shore, coast",30
暗,àn,adj.,"dark, dim",23
把握,bǎwò,n.,"assurance, confidence",27
办理,bànlǐ,v.,"to handle, to deal with",20
包含,bāohán,v.,"to contain, to include",21
薄,báo,adj.,thin,19
保留,bǎoliú,v.,"to reserve, to save",36
保险,bǎoxiǎn,n.,insurance,33
报告,bàogào,n.,report,31
报社,bàoshè,n.,"newspaper office, headquarters of a newspaper",31
悲(伤),bēi(shāng),adj.,"sad, sorrowful",36
本科,běnkē,n.,undergraduate education,28
本质,běnzhì,n.,"essence, nature, intrinsic quality",30
比例,bǐlì,n.,"proportion, scale",30
必然,bìrán,adj.,"inevitable, certain",27
编辑,biānjí,n.,editor,31
标志,biāozhì,n.,"sign, mark",31
冰激凌,bīngjīlíng,n.,ice cream,35
玻璃,bōli,n.,glass,35
不断,bùduàn,adv.,"continuously, unceasingly",30
不见得,bùjiànde,adv.,"not necessarily, may not",29
补充,bǔchōng,v.,"to supplement, to replenish",35
不安,bù'ān,adj.,"upset, disturbed",32
不然,bùrán,conj.,"or else, otherwise",36
不如,bùrú,v.,"to be not as good as, to be inferior to",29
步骤,bùzhòu,n.,"step, procedure",26
部门,bùmén,n.,"department, section",28
采访,cǎifǎng,v.,to interview,24
参考,cānkǎo,v.,"to consult, to refer to",28
操心,cāoxīn,v.,"to worry about, to be concerned about",24
册,cè,m.,volume,20
测验,cèyàn,v.,to test,35
常识,chángshí,n.,common knowledge,35
朝,cháo,prep.,towards,25
潮湿,cháoshī,adj.,"wet, moist",36
炒,chǎo,v.,to stir-fry,19
彻底,chèdǐ,adj.,"thorough, complete",25
沉默,chénmò,v.,to be silent,23
趁,chèn,prep.,"to take advantage of, (to do...) at the time when",19
称呼,chēnghu,v./n.,"to call, to address; form of address",21
称赞,chēngzàn,v.,"to praise, to commend",21
成分,chéngfèn,n.,"element, component, ingredient",35
成立,chénglì,v.,"to establish, to set up",28
成人,chéngrén,n.,adult,20
成长,chéngzhǎng,v.,to grow up,28
承担,chéngdān,v.,"to undertake, to shoulder",24
承认,chéngrèn,v.,"to admit, to acknowledge",22
承受,chéngshòu,v.,"to bear, to endure",25
池塘,chítáng,n.,pond,34
翅膀,chìbǎng,n.,wing,34
出版,chūbǎn,v.,to publish,20
出色,chūsè,adj.,"remarkable, outstanding",26
出示,chūshì,v.,"to show, to produce",31
出席,chūxí,v.,"to attend, to be present",23
初(级)，中(学),chū(jí)，zhōng(xué),n.,junior high school,28
除非,chúfēi,conj.,"only if, unless",36
处理,chǔlǐ,v.,"to handle, to deal with",31
闯,chuǎng,v.,to go around (to accomplish certain goals),24
吹,chuī,v.,"to boast, to brag",36
次要,cìyào,adj.,"less important, secondary",27
刺激,cìjī,v.,"to stimulate, to excite",30
